Id,Name,Authors,Rate,Link,Description
10925109,Cho Tôi Xin Một Vé Đi Tuổi Thơ,Nguyễn Nhật Ánh,"4.16 avg rating — 4,759 ratings",https://www.goodreads.com/book/show/10925109-cho-t-i-xin-m-t-v-i-tu-i-th,"Truyện Cho tôi xin một vé đi tuổi thơ là sáng tác mới nhất của nhà văn Nguyễn Nhật Ánh. Nhà văn mời người đọc lên chuyến tàu quay ngược trở lại thăm tuổi thơ và tình bạn dễ thương của 4 bạn nhỏ. Những trò chơi dễ thương thời bé, tính cách thật thà, thẳng thắn một cách thông minh và dại dột, những ước mơ tự do trong lòng… khiến cuốn sách có thể làm các bậc phụ huynh lo lắng rồi thở phào. Không chỉ thích hợp với người đọc trẻ, cuốn sách còn có thể hấp dẫn và thực sự có ích cho người lớn trong quan hệ với con mình."
11273677,Mắt Biếc,Nguyễn Nhật Ánh,"4.04 avg rating — 3,989 ratings",https://www.goodreads.com/book/show/11273677-m-t-bi-c,"Một tác phẩm được nhiều người bình chọn là hay nhất của nhà văn này. Một tác phẩm đang được dịch và giới thiệu tại Nhật Bản (theo thông tin từ các báo)… Bởi sự trong sáng của một tình cảm, bởi cái kết thúc rất, rất buồn khi suốt câu chuyện vẫn là những điều vui, buồn lẫn lộn (cái kết thúc không như mong đợi của mọi người). Cũng bởi, mắt biếc… năm xưa nay đâu (theo lời một bài hát)."
10433999,Tôi Thấy Hoa Vàng Trên Cỏ Xanh,Nguyễn Nhật Ánh,"4.02 avg rating — 3,080 ratings",https://www.goodreads.com/book/show/10433999-t-i-th-y-hoa-v-ng-tr-n-c-xanh,"""Tôi thấy hoa vàng trên cỏ xanh"" truyện dài mới nhất của nhà văn vừa nhận giải văn chương ASEAN Nguyễn Nhật Ánh. Cuốn sách viết về tuổi thơ nghèo khó ở một làng quê, bên cạnh đề tài tình yêu quen thuộc, lần đầu tiên Nguyễn Nhật Ánh đưa vào tác phẩm của mình những nhân vật phản diện và đặt ra vấn đề đạo đức như sự vô tâm, cái ác.

81 chương ngắn là 81 câu chuyện nhỏ của những đứa trẻ xảy ra ở một ngôi làng: chuyện về con cóc Cậu trời, chuyện ma, chuyện công chúa và hoàng tử, bên cạnh chuyện đói ăn, cháy nhà, lụt lội,... ""Tôi thấy hoa vàng trên cỏ xanh"" hứa hẹn đem đến những điều thú vị với cả bạn đọc nhỏ tuổi và người lớn bằng giọng văn trong sáng, hồn nhiên, giản dị của trẻ con cùng nhiều tình tiết thú vị, bất ngờ và cảm động trong suốt hơn 300 trang sách. Cuốn sách, vì thế có sức ám ảnh, thu hút, hấp dẫn không thể bỏ qua."
10428411,Cô Gái Đến Từ Hôm Qua,Nguyễn Nhật Ánh,"4.10 avg rating — 2,519 ratings",https://www.goodreads.com/book/show/10428411-c-g-i-n-t-h-m-qua,"Nếu ngày xưa còn bé, Thư luôn tự hào mình là cậu con trai thông minh có quyền bắt nạt và sai khiến các cô bé cùng lứa tuổi thì giờ đây khi lớn lên, anh luôn khổ sở khi thấy mình ngu ngơ và bị con gái “xỏ mũi”. Trong khi ngày bé anh luôn có thể khiến Tiểu Li, con bé hàng xóm ngốc nghếch, hứng chịu những trò nghịch ngợm của mình thì Việt An, cô bạn học thông minh lại đang khiến anh ngày càng bối rối."
10925246,Tôi Là Bêtô,Nguyễn Nhật Ánh,"4.15 avg rating — 2,340 ratings",https://www.goodreads.com/book/show/10925246-t-i-l-b-t,"Tôi Là Bêtô là tác phẩm mới nhất của nhà văn chuyên viết cho thanh thiếu niên của Nguyễn Nhật Ánh. Anh đã được đông đảo bạn đọc biết đến qua các tác phẩm quen thuộc như Thằng quỷ nhỏ, Trại hoa vàng, Bong bóng lên trời, Cô gái đến từ hôm qua... và hai bộ truyện nhiều tập Kính vạn hoa và Chuyện xứ Lang Biang. Với Tôi là Bêtô, đây là lần đầu tiên anh viết một tác phẩm qua lời kể của một chú cún.

Trong thiên truyện này, thế giới được nhìn một cách trong trẻo nhưng lồng trong đó không thiếu những ý tứ thâm trầm, khiến người đọc phải ngẫm nghĩ. Đây chắc chắn là tác phẩm không chỉ dành cho trẻ em.

Khi bắt đầu đọc cuốn sách này, dù không có sự phân biệt nào thì tôi vẫn có một cảm giác đây là những câu chuyện viết cho những đứa trẻ. Điều quan trọng lại bắt đầu từ chính ở đây. Cuốn sách đã lôi cuốn tôi bởi nó không đi đúng như những gì tôi dự báo. Một cuộc sách viết cho tất cả chúng ta: trẻ con và người lớn. Cuộc đời của con chó nhỏ Bêtô cũng chứa đựng tất cả hiện thực đời sống mà mỗi con người đều đi qua: niềm vui, sở thích, tình bạn, nỗi sợ hãi, lòng dũng cảm, ký ức, thiện ác, ước mơ..."
14624837,Có Hai Con Mèo Ngồi Bên Cửa Sổ,"Nguyễn Nhật Ánh, Đỗ Hoàng Tường (Illustrator)","3.82 avg rating — 1,730 ratings",https://www.goodreads.com/book/show/14624837-c-hai-con-m-o-ng-i-b-n-c-a-s,"Nhân vật chính thứ nhất tên là Gấu.

Nhân vật thứ hai là Tí Hon.

Nhân vật thứ ba, tên là…; còn nữa, nhân vật thứ tư, tên là…

Để biết tại sao Gấu lại chơi thân với Tí Hon, thì mời bạn hãy mở sách ra.

Gấu và Tí Hon thân nhau đến mức có thể chia sẻ từng chuyện vui buồn trong những phút giây mềm yếu, lo lắng và chăm sóc, giúp nhau từ miếng ăn đến “chiến lược” để tồn tại lâu dài.Tình bạn là gì? Bạn gái là gì? Tình yêu là gì?

Bọn mèo chuột kể với chúng ta nhiều câu chuyện nhỏ, gửi thông điệp rằng, tình yêu có sức mạnh tuyệt diệu, có thể làm nên mọi điều phi thường trong cuộc sống muôn loài.

Cuốn truyện có độ dầy vừa phải, 67 hình vẽ của họa sĩ Đỗ Hoàng Tường sinh động đến từng nét nũng nịu hay kiêu căng của nàng mèo người yêu mèo Gấu, câu chuyện thì hấp dẫn duyên dáng điểm những bài thơ tình lãng mạn nao lòng song đọc to lên thì khiến cười hinh hích…

Bạn hãy đọc nhé, để thấy, Nguyễn Nhật Ánh đã viết truyện mèo chuột theo cái cách của riêng mình độc đáo như thế nào."
10419181,Còn Chút Gì Để Nhớ,Nguyễn Nhật Ánh,"4.16 avg rating — 1,451 ratings",https://www.goodreads.com/book/show/10419181-c-n-ch-t-g-nh,"Đó là những kỷ niệm thời đi học của Chương, lúc mới bước chân vào Sài Gòn và làm quen với cuộc sống đô thị. Là những mối quan hệ bạn bè tưởng chừng hời hợt thoảng qua nhưng gắn bó suốt cuộc đời. Cuộc sống đầy biến động đã xô dạt mỗi người mỗi nơi, nhưng trải qua hàng mấy chục năm, những kỷ niệm ấy vẫn luôn níu kéo Chương về với một thời "
32068852,Ngày Xưa Có Một Chuyện Tình,Nguyễn Nhật Ánh,"4.14 avg rating — 1,348 ratings",https://www.goodreads.com/book/show/32068852-ng-y-x-a-c-m-t-chuy-n-t-nh,"Đúng như tên gọi, đây là cuốn sách về tình yêu, được viết theo một phong cách hoàn toàn khác lạ với nhà văn Nguyễn Nhật Ánh từ trước đến nay.

Ngày xưa có một chuyện tình là một câu chuyện cảm động khi người ta yêu nhau, nỗi khát khao một hạnh phúc êm đềm ấm áp đến thế; hay đơn giản chỉ là chuyện ba người - anh, em, và người ấy…?

Khi mở sách ra, độc giả sẽ được chứng kiến làn gió tình yêu chảy qua như rải nắng trên khuôn mặt mùa đông của cô gái; nụ hôn đầu tiên ngọt mật, cái ôm đầu tiên, những giọt nước mắt và cái ôm xiết cuối cùng của tấm tình người yêu người… Và người đọc sẽ tìm thấy câu trả lời, cho riêng mình.

""- Miền nè.

- Gì hở Phúc?

- Có chuyện này nè.

- Chuyện gì vậy?

- Ở trong lớp mình ấy mà.

- Trong lớp mình sao?

- Lần này tôi thấy đôi lông mày Miền nhướn lên. Nó vừa hỏi vừa xoáy mắt vào mặt tôi, chắc nó lấy làm lạ trước lối nói chuyện lòng vòng của tôi.

Ngay cả tôi, tôi cũng thấy tôi không giống mọi hôm chút nào và phát hiện đó khiến tôi gần như nổi điên lên với chính mình.

Tôi nói nhanh:

- Có một bạn trong lớp đang thích Miền đó.""

""Tôi rơi vào tình yêu như thiên thạch bị rơi vào lỗ đen. Tôi bị tình yêu đó nuốt chửng với một sức mạnh không sao cưỡng lại được.

Suốt một thời gian dài, tôi trượt trên tình yêu như trượt trên vỏ chuối, ngây ngất, mê man, chỉ khi nào té ngã thì đà trượt đó mới dừng lại.

Có cái gì đó làm tôi lạc lối. Nó khiến tôi tin rằng đạo đức là cái con người vẽ ra chứ không phải là cái vẽ ra con người. Nó khiến tôi sẵn sàng nổi loạn, chẳng buồn bận tâm cuộc đời mình rồi sẽ trôi dạt về đâu, những thứ gì sẽ đổ lên cuộc đời mình. Và tôi, thoạt đầu là tin một cách ngây thơ, về sau thì cố tin đó là tình yêu để biện hộ cho hành động của mình. Nhưng yêu kiểu như tôi yêu Phúc thì càng yêu tôi càng hiểu về tình yêu ít hơn...

Có cái gì đó mù lòa, say đắm, điên rồ, ảo giác, đẫm mê hương trong cuộc tình này.

(Trích “Ngày xưa có một chuyện tình”)"
18139866,Ngồi Khóc Trên Cây,"Nguyễn Nhật Ánh, Đỗ Hoàng Tường (Illustrator)","4.01 avg rating — 1,222 ratings",https://www.goodreads.com/book/show/18139866-ng-i-kh-c-tr-n-c-y,"Tên sách có làm bạn tò mò? “Ngồi khóc trên cây” có vẻ là một truyện hành động của nhà văn Nguyễn Nhật Ánh?

Bạn sẽ gặp, sau những câu thơ lãng mạn của chính tác giả làm đề từ, là cuộc sống trong một ngôi làng thơ mộng ven sông, kỳ nghỉ hè với nhân vật là những đứa trẻ mới lớn có vô vàn trò chơi đơn sơ hấp dẫn ghi dấu mãi trong lòng.

Câu chuyện của cô bé Rùa và chàng sinh viên vốn ở quê chuyển ra thành phố có giống như bạn từng có thời đi học?

Và cái cách họ thinh thích, rồi thương nhau giấu giếm, sợ làm nhau buồn, mong mỏi gặp nhau đến mất ngủ… có phải là mối tình đầu giống như của bạn?

“ Dài nhanh lên với

Tóc xõa ngang mày

Lớn nhanh lên với

Bé bỏng chiều nay”

Bạn sẽ được tác giả dẫn đi liền một mạch trong một thứ cảm xúc rưng rưng của tình yêu thương. Bạn sẽ thấy may mắn vì đang đuợc sống trong cuộc sống này, thấy yêu thế những tấm tình người… tất cả đều đẹp hồn hậu một cách giản dị.

Với cuốn sách mới này, một lần nữa người đọc lại được Nguyễn Nhật Ánh tặng món quà quý giá: lòng tin rằng điều tốt có thật trên đời.

Sách trình bày đẹp, trên giấy ngoại màu ngà với 30 tranh minh họa của họa sĩ Đỗ Hoàng Tường. Mỗi mở đầu chương đều có những câu thơ lãng mạn của chính tác giả làm đề từ .

-tiki.vn-"
12376409,Bàn Có Năm Chỗ Ngồi,Nguyễn Nhật Ánh,"3.93 avg rating — 1,152 ratings",https://www.goodreads.com/book/show/12376409-b-n-c-n-m-ch-ng-i,"Những nhân vật rất dễ thương, hoặc phải vượt qua những hoàn cảnh khó khăn, hoặc sẵn lòng chia sẻ với bạn bè, người thân… Thậm chí cả những nhân vật tạm gọi là “phe xấu” với nhiều trò đùa nghịch… cũng mang dáng dấp hồn nhiên. Tất cả hướng về Chân - Thiện - Mỹ.

Họ là năm người bạn với năm cá tính và hoàn cảnh khác nhau cùng chung trong một lớp học. Những trò nghịch ngợm trẻ con đôi khi gây ra mâu thuẫn, nhưng trên tất cả đó là những đứa trẻ ham học, giàu lòng nhân ái và biết quan tâm đến bạn bè. Cảm thông với hoàn cảnh của nhau, từng bạn nghĩ ra cách giúp đỡ bạn mình theo khả năng để tình bạn ấy lớn dần theo năm tháng."
